log_q,log_p,log_y,cl5_secondcity_d,cl5_smtown_d,cl5_suburban_d,cl5_urban_d,distance_oil1000,log_driver,log_hhr_age,log_hhsize,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,publictransit_d,share,state_fips,total_wrkr,region
8.05698394775391,0.300388544797897,11.4075651168823,0,0,1,0,2.14094996452332,1.0986123085022,3.63758611679077,1.3862943649292,0,0,0,0,1,0,0,0,0.0473497919738293,4,2,7.0
7.80543661117554,0.300310254096985,11.1198825836182,0,0,1,0,2.14094996452332,0.6931471824646,3.7376697063446,1.3862943649292,1,0,0,0,0,0,0,0,0.049088217318058,4,2,7.0
6.46841955184937,0.300309717655182,11.1198825836182,0,0,0,1,2.14094996452332,0.6931471824646,3.71357202529907,1.3862943649292,0,0,0,0,1,0,0,0,0.0128919323906302,4,2,7.0
7.31834125518799,0.300352185964584,11.1198825836182,0,0,1,0,2.14094996452332,0.6931471824646,3.58351898193359,1.3862943649292,0,0,0,0,1,0,0,0,0.0301614832133055,4,2,7.0
6.47345876693726,0.299939632415771,11.4075651168823,0,0,1,0,2.14094996452332,0.6931471824646,3.61091780662537,1.0986123085022,0,0,0,0,1,0,0,0,0.00971420109272,4,1,7.0
7.29416370391846,0.300268054008484,10.8685684204102,0,1,0,0,2.14094996452332,0.6931471824646,3.25809645652771,1.0986123085022,0,0,0,0,1,0,0,0,0.0378495343029499,4,1,7.0
7.40720129013062,0.300357729196548,10.7684850692749,0,0,1,0,2.14094996452332,0.6931471824646,3.66356158256531,1.0986123085022,0,0,0,0,1,0,0,0,0.0468443036079407,4,1,7.0
5.65942573547363,0.30007529258728,11.1198825836182,0,0,0,1,2.14094996452332,0.6931471824646,3.93182563781738,1.3862943649292,0,0,0,0,1,0,0,0,0.0057395072653889,4,2,7.0
7.51760387420654,0.300322353839874,10.0212707519531,0,0,1,0,2.14094996452332,0.6931471824646,3.25809645652771,1.0986123085022,0,1,0,0,0,0,0,0,0.110433220863342,4,2,7.0
5.45264101028442,0.299642860889435,10.3889951705933,0,1,0,0,2.14094996452332,0.6931471824646,3.78418970108032,1.60943794250488,0,0,0,1,0,0,0,0,0.0096895107999444,4,1,7.0
7.35922765731812,0.300363659858704,10.6572589874268,0,0,0,1,2.14094996452332,1.3862943649292,3.55534815788269,1.7917594909668,0,0,0,1,0,0,0,0,0.0499033145606518,4,3,7.0
7.70188140869141,0.30044424533844,11.1198825836182,0,1,0,0,2.14094996452332,0.6931471824646,3.66356158256531,1.3862943649292,0,1,0,0,0,0,0,0,0.0442651584744453,4,1,7.0
5.75793313980103,0.300147086381912,10.2219409942627,0,0,1,0,2.14094996452332,0.0,3.71357202529907,1.0986123085022,0,0,0,0,1,0,0,0,0.0155474087223411,4,1,7.0
6.54472160339355,0.300331622362137,11.2580327987671,1,0,0,0,2.14094996452332,0.6931471824646,3.40119743347168,1.3862943649292,0,0,1,0,0,0,0,0,0.0121190100908279,4,2,7.0
5.64473438262939,0.299900859594345,9.76995658874512,0,0,0,1,2.14094996452332,0.6931471824646,3.21887588500977,1.60943794250488,0,0,0,0,1,0,0,0,0.0218114331364632,4,1,7.0
7.30093145370483,0.300303727388382,11.6952466964722,0,0,1,0,2.14094996452332,0.6931471824646,3.71357202529907,1.3862943649292,0,0,0,0,0,1,0,0,0.0166722163558006,4,2,7.0
7.9639048576355,0.300381571054459,10.9595403671265,0,0,0,1,2.14094996452332,1.3862943649292,2.89037179946899,1.7917594909668,0,0,0,0,0,1,0,0,0.0675252601504326,4,4,7.0
6.88173484802246,0.300197839736938,11.6952466964722,0,0,1,0,2.14094996452332,0.6931471824646,3.61091780662537,1.3862943649292,0,0,0,1,0,0,0,0,0.0109620671719313,4,1,7.0
7.14857816696167,0.300037682056427,10.9595403671265,0,0,1,0,2.14094996452332,0.6931471824646,3.465735912323,1.7917594909668,0,0,0,0,1,0,0,0,0.0298692900687456,4,1,7.0
5.816237449646,0.300569951534271,10.6572589874268,0,0,1,0,2.14094996452332,0.6931471824646,3.49650764465332,1.0986123085022,0,0,1,0,0,0,0,0,0.010668583214283,4,2,7.0
7.37615489959717,0.300336211919785,11.0429220199585,0,0,1,0,2.14094996452332,0.6931471824646,3.21887588500977,1.3862943649292,0,0,0,0,1,0,0,0,0.0345126017928123,4,1,7.0
6.94676446914673,0.300287395715714,11.2580327987671,0,0,1,0,2.14094996452332,0.6931471824646,3.7376697063446,1.0986123085022,0,0,1,0,0,0,0,0,0.0181156098842621,4,2,7.0
7.78791093826294,0.300398617982864,10.7684850692749,0,0,1,0,2.14094996452332,0.6931471824646,3.66356158256531,1.0986123085022,0,0,0,0,1,0,0,0,0.0685511380434036,4,1,7.0
